DATA;CPI;Core CPI
01/01/2021;1.36;1.39
01/02/2021;1.67;1.27
01/03/2021;2.62;1.65
01/04/2021;4.14;2.97
01/05/2021;4.93;3.78
01/06/2021;5.32;4.42
01/07/2021;5.27;4.21
01/08/2021;5.18;3.95
01/09/2021;5.36;4.01
01/10/2021;6.23;4.58
01/11/2021;6.87;4.97
01/12/2021;7.16;5.50
01/01/2022;7.58;6.06
01/02/2022;7.95;6.46
01/03/2022;8.54;6.48
01/04/2022;8.24;6.16
01/05/2022;8.53;6.02
01/06/2022;9.00;5.91
01/07/2022;8.45;5.90
01/08/2022;8.22;6.29
01/09/2022;8.21;6.63
01/10/2022;7.76;6.30
01/11/2022;7.13;5.96
01/12/2022;6.41;5.68
01/01/2023;6.34;5.54
01/02/2023;5.96;5.50
01/03/2023;4.93;5.56
01/04/2023;4.95;5.51
01/05/2023;4.13;5.34
01/06/2023;3.06;4.86
01/07/2023;3.28;4.70
01/08/2023;3.72;4.40
01/09/2023;3.70;4.14
01/10/2023;3.25;4.03
01/11/2023;3.14;4.01
01/12/2023;3.32;3.91
01/01/2024;3.11;3.87
01/02/2024;3.17;3.77
01/03/2024;3.47;3.81
01/04/2024;3.35;3.62
01/05/2024;3.24;3.39
01/06/2024;2.97;3.26
01/07/2024;2.94;3.23
01/08/2024;2.61;3.29
01/09/2024;2.43;3.29
01/10/2024;2.57;3.29
01/11/2024;2.71;3.28
01/12/2024;2.87;3.21
01/01/2025;3.00;3.29
01/02/2025;2.81;3.14
